kategorie,name,string,spalte
Gehalt,Uni,leopold-franzens-universitat innsbruck,gegenseite
Unterhalt,Mama,taschengeld - studium,gegenseite
OmaBonus,Oma II,Oma II,gegenseite
OmaBonus,Oma I,Oma I,gegenseite
Verkäufe,WillHaben,Adyen N.V.,gegenseite
Verkäufe,WillHaben,willhaben PayLivery,verwendungszweck
Zinsen,Trade Republik,Zinsgutschrift - Trade Republik,gegenseite
Zinsen,Ing - Sparbrief,Zinsgutschrift - Ing,gegenseite
,,,
,,,
Bargeld,Bargeld,Bargeldauszahlung VISA CARD,gegenseite
